"Time","request","limit","usage"
1724524350000,157286400,419430400,152608768
1724524380000,157286400,419430400,152608768
1724524410000,157286400,419430400,152186880
1724524440000,157286400,419430400,152117248
1724524470000,157286400,419430400,152117248
1724524500000,157286400,419430400,152117248
1724524530000,157286400,419430400,152117248
1724524560000,157286400,419430400,152117248
1724524590000,157286400,419430400,152117248
1724524620000,157286400,419430400,152117248
1724524650000,157286400,419430400,152117248
1724524680000,157286400,419430400,152117248
1724524710000,157286400,419430400,152117248
1724524740000,157286400,419430400,152117248
1724524770000,157286400,419430400,152117248
1724524800000,157286400,419430400,147312640
1724524830000,157286400,419430400,147312640
1724524860000,157286400,419430400,147312640
1724524890000,157286400,419430400,147316736
1724524920000,157286400,419430400,147316736
1724524950000,157286400,419430400,147316736
1724524980000,157286400,419430400,147320832
1724525010000,157286400,419430400,147320832
1724525040000,157286400,419430400,147324928
1724525070000,157286400,419430400,147324928
1724525100000,157286400,419430400,147324928
1724525130000,157286400,419430400,147324928
1724525160000,157286400,419430400,147324928
1724525190000,157286400,419430400,147324928
1724525220000,157286400,419430400,147333120
1724525250000,157286400,419430400,147329024
1724525280000,157286400,419430400,147329024
1724525310000,157286400,419430400,147333120
1724525340000,157286400,419430400,147333120
1724525370000,157286400,419430400,147329024
1724525400000,157286400,419430400,147329024
1724525430000,157286400,419430400,147329024
1724525460000,157286400,419430400,147329024
1724525490000,157286400,419430400,147329024
1724525520000,157286400,419430400,147329024
1724525550000,157286400,419430400,147329024
1724525580000,157286400,419430400,147329024
1724525610000,157286400,419430400,147329024
1724525640000,157286400,419430400,147329024
1724525670000,157286400,419430400,147329024
1724525700000,157286400,419430400,143613952
1724525730000,157286400,419430400,143613952
1724525760000,157286400,419430400,143613952
1724525790000,157286400,419430400,143613952
1724525820000,157286400,419430400,143613952
1724525850000,157286400,419430400,143613952
1724525880000,157286400,419430400,143613952
1724525910000,157286400,419430400,143618048
1724525940000,157286400,419430400,143613952
1724525970000,157286400,419430400,143613952
1724526000000,157286400,419430400,143613952
1724526030000,157286400,419430400,143286272
1724526060000,157286400,419430400,143286272
1724526090000,157286400,419430400,141238272
1724526120000,157286400,419430400,140931072
1724526150000,157286400,419430400,140931072
1724526180000,157286400,419430400,140931072
1724526210000,157286400,419430400,140931072
1724526240000,157286400,419430400,140931072
1724526270000,157286400,419430400,140931072
1724526300000,157286400,419430400,140931072
1724526330000,157286400,419430400,140931072
1724526360000,157286400,419430400,140931072
1724526390000,157286400,419430400,140931072
1724526420000,157286400,419430400,138153984
1724526450000,157286400,419430400,138153984
1724526480000,157286400,419430400,138153984
1724526510000,157286400,419430400,138153984
1724526540000,157286400,419430400,138153984
1724526570000,157286400,419430400,138153984
1724526600000,157286400,419430400,138153984
1724526630000,157286400,419430400,138153984
1724526660000,157286400,419430400,137232384
1724526690000,157286400,419430400,137232384
1724526720000,157286400,419430400,137232384
1724526750000,157286400,419430400,137232384
1724526780000,157286400,419430400,137232384
1724526810000,157286400,419430400,137232384
1724526840000,157286400,419430400,137232384
1724526870000,157286400,419430400,136593408
1724526900000,157286400,419430400,136462336
1724526930000,157286400,419430400,136462336
1724526960000,157286400,419430400,136462336
1724526990000,157286400,419430400,136462336
1724527020000,157286400,419430400,136560640
1724527050000,157286400,419430400,136560640
1724527080000,157286400,419430400,136560640
1724527110000,157286400,419430400,136564736
1724527140000,157286400,419430400,136454144
1724527170000,157286400,419430400,136454144
1724527200000,157286400,419430400,136458240
1724527230000,157286400,419430400,136323072
1724527260000,157286400,419430400,136323072
1724527290000,157286400,419430400,136323072
1724527320000,157286400,419430400,136323072
1724527350000,157286400,419430400,136323072
1724527380000,157286400,419430400,136327168
1724527410000,157286400,419430400,136327168
1724527440000,157286400,419430400,136331264
1724527470000,157286400,419430400,136368128
1724527500000,157286400,419430400,136372224
1724527530000,157286400,419430400,136376320
1724527560000,157286400,419430400,136380416
1724527590000,157286400,419430400,136380416
1724527620000,157286400,419430400,136306688
1724527650000,157286400,419430400,136310784
1724527680000,157286400,419430400,136314880
1724527710000,157286400,419430400,136314880
1724527740000,157286400,419430400,136351744
1724527770000,157286400,419430400,136355840
1724527800000,157286400,419430400,136359936
1724527830000,157286400,419430400,136278016
1724527860000,157286400,419430400,136278016
1724527890000,157286400,419430400,136282112
1724527920000,157286400,419430400,136282112
1724527950000,157286400,419430400,136380416
1724527980000,157286400,419430400,136380416
1724528010000,157286400,419430400,136380416
1724528040000,157286400,419430400,136384512
1724528070000,157286400,419430400,136282112
1724528100000,157286400,419430400,136286208
1724528130000,157286400,419430400,136290304
1724528160000,157286400,419430400,136290304
1724528190000,157286400,419430400,136290304
1724528220000,157286400,419430400,136290304
1724528250000,157286400,419430400,136290304
1724528280000,157286400,419430400,136290304
1724528310000,157286400,419430400,136290304
1724528340000,157286400,419430400,136290304
1724528370000,157286400,419430400,136220672
1724528400000,157286400,419430400,135344128
1724528430000,157286400,419430400,135299072
1724528460000,157286400,419430400,135294976
1724528490000,157286400,419430400,135028736
1724528520000,157286400,419430400,135028736
1724528550000,157286400,419430400,135028736
1724528580000,157286400,419430400,135028736
1724528610000,157286400,419430400,135028736
1724528640000,157286400,419430400,135028736
1724528670000,157286400,419430400,135028736
1724528700000,157286400,419430400,135028736
1724528730000,157286400,419430400,134803456
1724528760000,157286400,419430400,134803456
1724528790000,157286400,419430400,134803456
1724528820000,157286400,419430400,134803456
1724528850000,157286400,419430400,134803456
1724528880000,157286400,419430400,134803456
1724528910000,157286400,419430400,134803456
1724528940000,157286400,419430400,134803456
1724528970000,157286400,419430400,134803456
1724529000000,157286400,419430400,134803456
1724529030000,157286400,419430400,134836224
1724529060000,157286400,419430400,134836224
1724529090000,157286400,419430400,134840320
1724529120000,157286400,419430400,134840320
1724529150000,157286400,419430400,134840320
1724529180000,157286400,419430400,134840320
1724529210000,157286400,419430400,134844416
1724529240000,157286400,419430400,134844416
1724529270000,157286400,419430400,134844416
1724529300000,157286400,419430400,134844416
1724529330000,157286400,419430400,134856704
1724529360000,157286400,419430400,134856704
1724529390000,157286400,419430400,134860800
1724529420000,157286400,419430400,134860800
1724529450000,157286400,419430400,134864896
1724529480000,157286400,419430400,134864896
1724529510000,157286400,419430400,134864896
1724529540000,157286400,419430400,134864896
1724529570000,157286400,419430400,134864896
1724529600000,157286400,419430400,134864896
1724529630000,157286400,419430400,134873088
1724529660000,157286400,419430400,134873088
