"time","cpu_request","cpu_limit","cpu_usage"
1724517300000,0.1,0.25,0.00000402212608726298
1724517330000,0.1,0.25,0.000004249833349321626
1724517360000,0.1,0.25,0.000058305884412560695
1724517390000,0.1,0.25,0.000052554420292729214
1724517420000,0.1,0.25,0
1724517450000,0.1,0.25,0.0000044156826246072815
1724517480000,0.1,0.25,0
1724517510000,0.1,0.25,0.00007305678678164988
1724517540000,0.1,0.25,0
1724517570000,0.1,0.25,0.000004252666453536873
1724517600000,0.1,0.25,0
1724517630000,0.1,0.25,0.00005446520773864405
1724517660000,0.1,0.25,0.0000025949780690257757
1724517690000,0.1,0.25,0.00000425599547159341
1724517720000,0.1,0.25,0.00007902957060410202
1724517750000,0.1,0.25,0.0000705369075185329
1724517780000,0.1,0.25,0.0000032983454938190622
1724517810000,0.1,0.25,0.000003871106936786691
1724517840000,0.1,0.25,0.0000011721586781970065
1724517870000,0.1,0.25,0.00006555527564717003
1724517900000,0.1,0.25,0.0000012000644006247205
1724517930000,0.1,0.25,0.0000033899261832699644
1724517960000,0.1,0.25,0
1724517990000,0.1,0.25,0.00008154915154261127
1724518020000,0.1,0.25,0
1724518050000,0.1,0.25,0.000004291524396829667
1724518080000,0.1,0.25,0
1724518110000,0.1,0.25,0.000058035818164850454
1724518140000,0.1,0.25,0
1724518170000,0.1,0.25,0.0000030630124153408676
1724518200000,0.1,0.25,0.000052545696338628095
1724518230000,0.1,0.25,0.00007748928663432599
1724518260000,0.1,0.25,0
1724518290000,0.1,0.25,0.000003373976771165797
1724518320000,0.1,0.25,0.00005534448166498879
1724518350000,0.1,0.25,0.00007913308673970445
1724518380000,0.1,0.25,0
1724518410000,0.1,0.25,0.0000035238443337341936
1724518440000,0.1,0.25,0
1724518470000,0.1,0.25,0.00004877765002977906
1724518500000,0.1,0.25,0
1724518530000,0.1,0.25,0.000003950999999879912
1724518560000,0.1,0.25,0.0000554396872900645
1724518590000,0.1,0.25,0.00007490250593699695
1724518620000,0.1,0.25,0
1724518650000,0.1,0.25,0.000003123216554128112
1724518680000,0.1,0.25,0
1724518710000,0.1,0.25,0.00006944629999985353
1724518740000,0.1,0.25,0.0000031861076160292095
1724518770000,0.1,0.25,0.000003949674282059882
1724518800000,0.1,0.25,0.00005052182250520382
1724518830000,0.1,0.25,0.00004792381991816951
1724518860000,0.1,0.25,0.0000037199795605177484
1724518890000,0.1,0.25,0.000004019396034338287
1724518920000,0.1,0.25,0.00007528412821854401
1724518950000,0.1,0.25,0.00007978559655722264
1724518980000,0.1,0.25,0.0000033175011697143473
1724519010000,0.1,0.25,0.000004581556158510767
1724519040000,0.1,0.25,0
1724519070000,0.1,0.25,0.00007425894450325152
1724519100000,0.1,0.25,0.000002780964363715721
1724519130000,0.1,0.25,0.000003274723838189421
1724519160000,0.1,0.25,0
1724519190000,0.1,0.25,0.00005005474955194043
1724519220000,0.1,0.25,0.0000010112163944230482
1724519250000,0.1,0.25,0.00007172846798437756
1724519280000,0.1,0.25,0.00006200983749457913
1724519310000,0.1,0.25,0.00006477031474758073
1724519340000,0.1,0.25,0
1724519370000,0.1,0.25,0
1724519400000,0.1,0.25,0.000004445474133000433
1724519430000,0.1,0.25,0.0000609902525150127
1724519460000,0.1,0.25,0
1724519490000,0.1,0.25,0.000002792737154050176
1724519520000,0.1,0.25,0
1724519550000,0.1,0.25,0.00006500514133252316
1724519580000,0.1,0.25,0.0000807253651399612
1724519610000,0.1,0.25,0.000004087422280716274
1724519640000,0.1,0.25,0.000003686459192975961
1724519670000,0.1,0.25,0.000056953958409319946
1724519700000,0.1,0.25,0.00004707615294920167
1724519730000,0.1,0.25,0.0000041208295762982514
1724519760000,0.1,0.25,0
1724519790000,0.1,0.25,0.000055591851523813
1724519820000,0.1,0.25,0.00007025454752442465
1724519850000,0.1,0.25,0.0000033638781532042573
1724519880000,0.1,0.25,0.0000035006270812850425
1724519910000,0.1,0.25,0.00004174051301372471
1724519940000,0.1,0.25,0.00003453351737929506
1724519970000,0.1,0.25,0.000005097579283270928
1724520000000,0.1,0.25,0.0000046436889678071364
1724520030000,0.1,0.25,0.000059381543481327365
1724520060000,0.1,0.25,0.00005834010081533274
1724520090000,0.1,0.25,0.0000014969589955302905
1724520120000,0.1,0.25,0.00000170409323484116
1724520150000,0.1,0.25,0.000053974067189409976
1724520180000,0.1,0.25,0.000056096679379013136
1724520210000,0.1,0.25,0
1724520240000,0.1,0.25,0.000002820066660123072
1724520270000,0.1,0.25,0.0000012567020105685004
1724520300000,0.1,0.25,0.00005380707897711683
1724520330000,0.1,0.25,0.000006828285120732095
1724520360000,0.1,0.25,0.000009761281601443976
1724520390000,0.1,0.25,0.00005505649363181191
1724520420000,0.1,0.25,0.00004933008132430781
1724520450000,0.1,0.25,0.000003569068596593495
1724520480000,0.1,0.25,0.000002839658988078552
1724520510000,0.1,0.25,0.00005891628171872925
1724520540000,0.1,0.25,0.00005334432115511995
1724520570000,0.1,0.25,0.0000022865483261302527
1724520600000,0.1,0.25,0.0000023481265400681626
1724520630000,0.1,0.25,0.000038633886748363026
1724520660000,0.1,0.25,0.00002862092440751219
1724520690000,0.1,0.25,0.000010448289339267994
1724520720000,0.1,0.25,0
