"time","receive_packets_dropped","transmit_packets_dropped","total_packets_dropped"
1724531490000,0,0,0
1724531520000,0,0,0
1724531550000,0,0,0
1724531580000,0,0,0
1724531610000,0,0,0
1724531640000,0,0,0
1724531670000,0,0,0
1724531700000,0,0,0
1724531730000,0,0,0
1724531760000,0,0,0
1724531790000,0,0,0
1724531820000,0,0,0
1724531850000,0,0,0
1724531880000,0,0,0
1724531910000,0,0,0
1724531940000,0,0,0
1724531970000,0,0,0
1724532000000,0,0,0
1724532030000,0,0,0
1724532060000,0,0,0
1724532090000,0,0,0
1724532120000,0,0,0
1724532150000,0,0,0
1724532180000,0,0,0
1724532210000,0,0,0
1724532240000,0,0,0
1724532270000,0,0,0
1724532300000,0,0,0
1724532330000,0,0,0
1724532360000,0,0,0
1724532390000,0,0,0
1724532420000,0,0,0
1724532450000,0,0,0
1724532480000,0,0,0
1724532510000,0,0,0
1724532540000,0,0,0
1724532570000,0,0,0
1724532600000,0,0,0
1724532630000,0,0,0
1724532660000,0,0,0
1724532690000,0,0,0
1724532720000,0,0,0
1724532750000,0,0,0
1724532780000,0,0,0
1724532810000,0,0,0
1724532840000,0,0,0
1724532870000,0,0,0
1724532900000,0,0,0
1724532930000,0,0,0
1724532960000,0,0,0
1724532990000,0,0,0
1724533020000,0,0,0
1724533050000,0,0,0
1724533080000,0,0,0
1724533110000,0,0,0
1724533140000,0,0,0
1724533170000,0,0,0
1724533200000,0,0,0
1724533230000,0,0,0
1724533260000,0,0,0
1724533290000,0,0,0
1724533320000,0,0,0
1724533350000,0,0,0
1724533380000,0,0,0
1724533410000,0,0,0
1724533440000,0,0,0
1724533470000,0,0,0
1724533500000,0,0,0
1724533530000,0,0,0
1724533560000,0,0,0
1724533590000,0,0,0
1724533620000,0,0,0
1724533650000,0,0,0
1724533680000,0,0,0
1724533710000,0,0,0
1724533740000,0,0,0
1724533770000,0,0,0
1724533800000,0,0,0
1724533830000,0,0,0
1724533860000,0,0,0
1724533890000,0,0,0
1724533920000,0,0,0
1724533950000,0,0,0
1724533980000,0,0,0
1724534010000,0,0,0
1724534040000,0,0,0
1724534070000,0,0,0
1724534100000,0,0,0
1724534130000,0,0,0
1724534160000,0,0,0
1724534190000,0,0,0
1724534220000,0,0,0
1724534250000,0,0,0
1724534280000,0,0,0
1724534310000,0,0,0
1724534340000,0,0,0
1724534370000,0,0,0
1724534400000,0,0,0
1724534430000,0,0,0
1724534460000,0,0,0
1724534490000,0,0,0
1724534520000,0,0,0
1724534550000,0,0,0
1724534580000,0,0,0
1724534610000,0,0,0
1724534640000,0,0,0
1724534670000,0,0,0
1724534700000,0,0,0
1724534730000,0,0,0
1724534760000,0,0,0
1724534790000,0,0,0
1724534820000,0,0,0
1724534850000,0,0,0
1724534880000,0,0,0
1724534910000,0,0,0
1724534940000,0,0,0
1724534970000,0,0,0
1724535000000,0,0,0
1724535030000,0,0,0
1724535060000,0,0,0
1724535090000,0,0,0
1724535120000,0,0,0
1724535150000,0,0,0
1724535180000,0,0,0
1724535210000,0,0,0
1724535240000,0,0,0
1724535270000,0,0,0
1724535300000,0,0,0
1724535330000,0,0,0
1724535360000,0,0,0
1724535390000,0,0,0
1724535420000,0,0,0
1724535450000,0,0,0
1724535480000,0,0,0
1724535510000,0,0,0
1724535540000,0,0,0
1724535570000,0,0,0
1724535600000,0,0,0
1724535630000,0,0,0
1724535660000,0,0,0
1724535690000,0,0,0
1724535720000,0,0,0
