time,pod,namespace,cpu_request,cpu_limit,cpu_usage,memory_request,memory_limit,memory_usage,receive_packets,transmit_packets,total_packets,receive_packets_dropped,transmit_packets_dropped,total_packets_dropped
1724518320000,amf1,free5gc,0.1,0.25,0.0000014041641486253106,104857600.0,536870912.0,84836352,,,,,,
1724518350000,amf1,free5gc,0.1,0.25,0.000003697739569372175,104857600.0,536870912.0,84836352,,,,,,
1724518380000,amf1,free5gc,0.1,0.25,0.00006219210224332503,104857600.0,536870912.0,84856832,,,,,,
1724518410000,amf1,free5gc,0.1,0.25,0.00007706704999996815,104857600.0,536870912.0,84856832,,,,,,
1724518440000,amf1,free5gc,0.1,0.25,0.000004476666153462208,104857600.0,536870912.0,84856832,,,,,,
1724518470000,amf1,free5gc,0.1,0.25,0.000004392202577741163,104857600.0,536870912.0,84856832,,,,,,
1724518500000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84856832,,,,,,
1724518530000,amf1,free5gc,0.1,0.25,0.00007214872232075532,104857600.0,536870912.0,84889600,,,,,,
1724518560000,amf1,free5gc,0.1,0.25,0.00001150598802386549,104857600.0,536870912.0,84889600,,,,,,
1724518590000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84889600,,,,,,
1724518620000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84889600,,,,,,
1724518650000,amf1,free5gc,0.1,0.25,0.00010076467160065341,104857600.0,536870912.0,84889600,,,,,,
1724518680000,amf1,free5gc,0.1,0.25,0.000009300035029406436,104857600.0,536870912.0,84824064,,,,,,
1724518710000,amf1,free5gc,0.1,0.25,0.000011283500000303093,104857600.0,536870912.0,84824064,,,,,,
1724518740000,amf1,free5gc,0.1,0.25,0.00008134365478449427,104857600.0,536870912.0,84856832,,,,,,
1724518770000,amf1,free5gc,0.1,0.25,0.00008044638905031107,104857600.0,536870912.0,84856832,,,,,,
1724518800000,amf1,free5gc,0.1,0.25,0.000004901104261644169,104857600.0,536870912.0,84856832,,,,,,
1724518830000,amf1,free5gc,0.1,0.25,0.000005204989830616401,104857600.0,536870912.0,84856832,,,,,,
1724518860000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84856832,,,,,,
1724518890000,amf1,free5gc,0.1,0.25,0.00005446961724763076,104857600.0,536870912.0,84856832,,,,,,
1724518920000,amf1,free5gc,0.1,0.25,0.00000426626924989149,104857600.0,536870912.0,84856832,,,,,,
1724518950000,amf1,free5gc,0.1,0.25,0.00000436408724110798,104857600.0,536870912.0,84856832,,,,,,
1724518980000,amf1,free5gc,0.1,0.25,0.00006293709602716781,104857600.0,536870912.0,84856832,,,,,,
1724519010000,amf1,free5gc,0.1,0.25,0.00009074043430288667,104857600.0,536870912.0,84856832,,,,,,
1724519040000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84856832,,,,,,
1724519070000,amf1,free5gc,0.1,0.25,0.0000036091810002175873,104857600.0,536870912.0,84856832,,,,,,
1724519100000,amf1,free5gc,0.1,0.25,0.00009475373607455136,104857600.0,536870912.0,84856832,,,,,,
1724519130000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84856832,,,,,,
1724519160000,amf1,free5gc,0.1,0.25,0.0000033733316224017097,104857600.0,536870912.0,84856832,,,,,,
1724519190000,amf1,free5gc,0.1,0.25,0.0000030654252839862524,104857600.0,536870912.0,84856832,,,,,,
1724519220000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84856832,,,,,,
1724519250000,amf1,free5gc,0.1,0.25,0.00008275026342632667,104857600.0,536870912.0,84856832,,,,,,
1724519280000,amf1,free5gc,0.1,0.25,0.000004273209152884266,104857600.0,536870912.0,84856832,,,,,,
1724519310000,amf1,free5gc,0.1,0.25,0.000006186667387068208,104857600.0,536870912.0,84856832,,,,,,
1724519340000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84856832,,,,,,
1724519370000,amf1,free5gc,0.1,0.25,0.00005414167857724785,104857600.0,536870912.0,84856832,,,,,,
1724519400000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84856832,,,,,,
1724519430000,amf1,free5gc,0.1,0.25,0.000004859030586255721,104857600.0,536870912.0,84856832,,,,,,
1724519460000,amf1,free5gc,0.1,0.25,0.00004833803986710924,104857600.0,536870912.0,84856832,,,,,,
1724519490000,amf1,free5gc,0.1,0.25,0.00008521863274457696,104857600.0,536870912.0,84856832,,,,,,
1724519520000,amf1,free5gc,0.1,0.25,0.000004870405411674748,104857600.0,536870912.0,84856832,,,,,,
1724519550000,amf1,free5gc,0.1,0.25,0.0000054194861670208335,104857600.0,536870912.0,84856832,,,,,,
1724519580000,amf1,free5gc,0.1,0.25,0.00007616012982152499,104857600.0,536870912.0,84856832,,,,,,
1724519610000,amf1,free5gc,0.1,0.25,0.00006454917477784983,104857600.0,536870912.0,84856832,,,,,,
1724519640000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,84856832,,,,,,
1724519670000,amf1,free5gc,0.1,0.25,0.000005308488729688387,104857600.0,536870912.0,84856832,,,,,,
1724519700000,amf1,free5gc,0.1,0.25,0.00005747029730281003,104857600.0,536870912.0,84856832,,,,,,
1724519730000,amf1,free5gc,0.1,0.25,0.00009333072493501774,104857600.0,536870912.0,84856832,,,,,,
1724519760000,amf1,free5gc,0.1,0.25,0.000009438860971525236,104857600.0,536870912.0,84856832,,,,,,
1724519790000,amf1,free5gc,0.1,0.25,0.000010329330996991128,104857600.0,536870912.0,84856832,,,,,,
1724519820000,amf1,free5gc,0.1,0.25,0.00007693553086470846,104857600.0,536870912.0,84856832,,,,,,
1724519850000,amf1,free5gc,0.1,0.25,0.00009972497956649493,104857600.0,536870912.0,84856832,,,,,,
1724519880000,amf1,free5gc,0.1,0.25,0.0000037577182482356392,104857600.0,536870912.0,83456000,,,,,,
1724519910000,amf1,free5gc,0.1,0.25,0.000003544499451103387,104857600.0,536870912.0,81018880,,,,,,
1724519940000,amf1,free5gc,0.1,0.25,0.00006858840884713063,104857600.0,536870912.0,76836864,,,,,,
1724519970000,amf1,free5gc,0.1,0.25,0.00010548446771387363,104857600.0,536870912.0,75493376,,,,,,
1724520000000,amf1,free5gc,0.1,0.25,0.000002896377808538291,104857600.0,536870912.0,67252224,,,,,,
1724520030000,amf1,free5gc,0.1,0.25,0.0000023918517257992137,104857600.0,536870912.0,65929216,,,,,,
1724520060000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,65929216,,,,,,
1724520090000,amf1,free5gc,0.1,0.25,0.0000496133848021415,104857600.0,536870912.0,63287296,,,,,,
1724520120000,amf1,free5gc,0.1,0.25,0.000003930706951220993,104857600.0,536870912.0,63229952,,,,,,
1724520150000,amf1,free5gc,0.1,0.25,0.000006059760107459544,104857600.0,536870912.0,63229952,,,,,,
1724520180000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,63229952,,,,,,
1724520210000,amf1,free5gc,0.1,0.25,0.00006362608893248765,104857600.0,536870912.0,62353408,,,,,,
1724520240000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,62353408,,,,,,
1724520270000,amf1,free5gc,0.1,0.25,0.000004435621764717325,104857600.0,536870912.0,60682240,,,,,,
1724520300000,amf1,free5gc,0.1,0.25,0.0001114742650632362,104857600.0,536870912.0,60682240,,,,,,
1724520330000,amf1,free5gc,0.1,0.25,0.00013426111579166846,104857600.0,536870912.0,59924480,,,,,,
1724520360000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,59846656,,,,,,
1724520390000,amf1,free5gc,0.1,0.25,0.000005124015009284396,104857600.0,536870912.0,59846656,,,,,,
1724520420000,amf1,free5gc,0.1,0.25,0,104857600.0,536870912.0,59846656,,,,,,
1724520450000,amf1,free5gc,0.1,0.25,0.00007987374669803054,104857600.0,536870912.0,59846656,,,,,,
